1;2;3;4;5;6
Абаза;г;`1900000000000;`1900000400000;Хакасия;респ
Абакан;г;`1900000000000;`1900000100000;Хакасия;респ
Абдулино;г;`5600000000000;`5605500100000;Оренбургская;обл
Абинск;г;`2300000000000;`2300200100000;Краснодарский край;
Агидель;г;`0200000000000;`0200000200000;Башкортостан;респ
Агрыз;г;`1600000000000;`1600200100000;Татарстан;респ
Адыгейск;г;`0100000000000;`0100000200000;Адыгея;респ
Азов;г;`6100000000000;`6100001300000;Ростовская;обл
Ак-Довурак;г;`1700000000000;`1700000200000;Тыва;респ
Аксай;г;`6100000000000;`6100300100000;Ростовская;обл
Алагир;г;`1500000000000;`1500200100000;Северная Осетия - Алания;респ
Алапаевск;г;`6600000000000;`6600002400000;Свердловская;обл
Алатырь;г;`2100000000000;`2100002200000;Чувашская Республика - Чувашия;
Алдан;г;`1400000000000;`1400300100000;Саха /Якутия;респ
Алейск;г;`2200000000000;`2200000200000;Алтайский край;
Александров;г;`3300000000000;`3300200100000;Владимирская;обл
Александровск;г;`5900000000000;`5900000300000;Пермский край;
Александровск-Сахалинский;г;`6500000000000;`6501800100000;Сахалинская;обл
Алексеевка;г;`3100000000000;`3100200100000;Белгородская;обл
Алексин;г;`7100000000000;`7100200100000;Тульская;обл
Алзамай;г;`3800000000000;`3801600200000;Иркутская;обл
Алупка;г;`9100000000000;`9100000800100;Крым;респ
Алушта;г;`9100000000000;`9100001100000;Крым;респ
Альметьевск;г;`1600000000000;`1600800100000;Татарстан;респ
Амурск;г;`2700000000000;`2700000300000;Хабаровский край;
Анадырь;г;`8700000000000;`8700000100000;Чукотский;ао
Анапа;г;`2300000000000;`2300300100000;Краснодарский край;
Ангарск;г;`3800000000000;`3800000400000;Иркутская;обл
Андреаполь;г;`6900000000000;`6900001000000;Тверская;обл
Анжеро-Судженск;г;`4200000000000;`4200000200000;Кемеровскаяасть - Кузбасс;обл
Анива;г;`6500000000000;`6500200100000;Сахалинская;обл
Апатиты;г;`5100000000000;`5100000200000;Мурманская;обл
Апрелевка;г;`5000000000000;`5004800300000;Московская;обл
Апшеронск;г;`2300000000000;`2300400100000;Краснодарский край;
Арамиль;г;`6600000000000;`6602500200000;Свердловская;обл
Аргун;г;`2000000000000;`2000000200000;Чеченская;респ
Ардатов;г;`1300000000000;`1300200100000;Мордовия;респ
Ардон;г;`1500000000000;`1500300100000;Северная Осетия - Алания;респ
Арзамас;г;`5200000000000;`5200000400000;Нижегородская;обл
Аркадак;г;`6400000000000;`6400300100000;Саратовская;обл
Армавир;г;`2300000000000;`2300000200000;Краснодарский край;
Армянск;г;`9100000000000;`9100000200000;Крым;респ
Арсеньев;г;`2500000000000;`2500000200000;Приморский край;
Арск;г;`1600000000000;`1601000100000;Татарстан;респ
Артем;г;`2500000000000;`2500000300000;Приморский край;
Артемовск;г;`2400000000000;`2402400200000;Красноярский край;
Артемовский;г;`6600000000000;`6600300100000;Свердловская;обл
Архангельск;г;`2900000000000;`2900000100000;Архангельская;обл
Асбест;г;`6600000000000;`6600000200000;Свердловская;обл
Асино;г;`7000000000000;`7000300100000;Томская;обл
Астрахань;г;`3000000000000;`3000000100000;Астраханская;обл
Аткарск;г;`6400000000000;`6400000300000;Саратовская;обл
Ахтубинск;г;`3000000000000;`3000200100000;Астраханская;обл
Ахтубинск-7;г;`3000000000000;`3000200200000;Астраханская;обл
Ачинск;г;`2400000000000;`2400001200000;Красноярский край;
Аша;г;`7400000000000;`7400200300000;Челябинская;обл
Бабаево;г;`3500000000000;`3500200100000;Вологодская;обл
Бабушкин;г;`0300000000000;`0300900200000;Бурятия;респ
Бавлы;г;`1600000000000;`1601200100000;Татарстан;респ
Багратионовск;г;`3900000000000;`3900200100000;Калининградская;обл
Байкальск;г;`3800000000000;`3801800200000;Иркутская;обл
Байконур;г;`9900000000000;`9900000000000;Байконур;г
Баймак;г;`0200000000000;`0200600100000;Башкортостан;респ
Бакал;г;`7400000000000;`7401700100000;Челябинская;обл
Баксан;г;`0700000000000;`0700000300000;Кабардино-Балкарская;респ
Балабаново;г;`4000000000000;`4000400200000;Калужская;обл
Балаклава;г;`9200000000000;`9200000200000;Севастополь;г
Балаково;г;`6400000000000;`6400000400000;Саратовская;обл
Балахна;г;`5200000000000;`5200400100000;Нижегородская;обл
Балашиха;г;`5000000000000;`5000003600000;Московская;обл
Балашов;г;`6400000000000;`6400000500000;Саратовская;обл
Балей;г;`7500000000000;`7500400100000;Забайкальский край;
Балтийск;г;`3900000000000;`3901500100000;Калининградская;обл
Барабинск;г;`5400000000000;`5400301200000;Новосибирская;обл
Барнаул;г;`2200000000000;`2200000100000;Алтайский край;
Барыш;г;`7300000000000;`7300300100000;Ульяновская;обл
Батайск;г;`6100000000000;`6100000300000;Ростовская;обл
Бахчисарай;г;`9100000000000;`9100100100000;Крым;респ
Бежецк;г;`6900000000000;`6900300100000;Тверская;обл
Белая Калитва;г;`6100000000000;`6100500100000;Ростовская;обл
Белая Холуница;г;`4300000000000;`4300400100000;Кировская;обл
Белгород;г;`3100000000000;`3100000100000;Белгородская;обл
Белебей;г;`0200000000000;`0200900100000;Башкортостан;респ
Белев;г;`7100000000000;`7100400100000;Тульская;обл
Белинский;г;`5800000000000;`5800500100000;Пензенская;обл
Белово;г;`4200000000000;`4200001500000;Кемеровскаяасть - Кузбасс;обл
Белогорск;г;`2800000000000;`2800000300000;Амурская;обл
Белогорск;г;`9100000000000;`9100200100000;Крым;респ
Белозерск;г;`3500000000000;`3500400100000;Вологодская;обл
Белокуриха;г;`2200000000000;`2200000300000;Алтайский край;
Беломорск;г;`1000000000000;`1000200100000;Карелия;респ
Белоозёрский;г;`5000000000000;`5004400200000;Московская;обл
Белорецк;г;`0200000000000;`0201100100000;Башкортостан;респ
Белореченск;г;`2300000000000;`2300600100000;Краснодарский край;
Белоусово;г;`4000000000000;`4000900200000;Калужская;обл
Белоярский;г;`8600000000000;`8600001300000;Ханты-Мансийский Автономный округ - Югра;ао
Белый;г;`6900000000000;`6900400100000;Тверская;обл
Бердск;г;`5400000000000;`5400000200000;Новосибирская;обл
Березники;г;`5900000000000;`5900000200000;Пермский край;
Березовский;г;`4200000000000;`4200000300000;Кемеровскаяасть - Кузбасс;обл
Беслан;г;`1500000000000;`1500800100000;Северная Осетия - Алания;респ
Бийск;г;`2200000000000;`2200000400000;Алтайский край;
Бикин;г;`2700000000000;`2700000400000;Хабаровский край;
Билибино;г;`8700000000000;`8700300100000;Чукотский;ао
Биробиджан;г;`7900000000000;`7900000100000;Еврейская;аобл
Бирск;г;`0200000000000;`0201300100000;Башкортостан;респ
Бирюсинск;г;`3800000000000;`3801900200000;Иркутская;обл
Бирюч;г;`3100000000000;`3101200100000;Белгородская;обл
Благовещенск;г;`0200000000000;`0201500100000;Башкортостан;респ
Благовещенск;г;`2800000000000;`2800000100000;Амурская;обл
Благодарный;г;`2600000000000;`2600600100000;Ставропольский край;
Бобров;г;`3600000000000;`3600300100000;Воронежская;обл
Богданович;г;`6600000000000;`6600800100000;Свердловская;обл
Богородицк;г;`7100000000000;`7100500100000;Тульская;обл
Богородск;г;`5200000000000;`5200500100000;Нижегородская;обл
Боготол;г;`2400000000000;`2400001300000;Красноярский край;
Богучар;г;`3600000000000;`3600400100000;Воронежская;обл
Бодайбо;г;`3800000000000;`3800000600000;Иркутская;обл
Бокситогорск;г;`4700000000000;`4700200100000;Ленинградская;обл
Болгар;г;`1600000000000;`1603800100000;Татарстан;респ
Бологое;г;`6900000000000;`6900500100000;Тверская;обл
Болотное;г;`5400000000000;`5400400100000;Новосибирская;обл
Болохово;г;`7100000000000;`7101400200000;Тульская;обл
Болхов;г;`5700000000000;`5700200100000;Орловская;обл
Большой Камень;г;`2500000000000;`2500000700000;Приморский край;
Бор;г;`5200000000000;`5200000500000;Нижегородская;обл
Борзя;г;`7500000000000;`7500500100000;Забайкальский край;
Борисоглебск;г;`3600000000000;`3600500100000;Воронежская;обл
Боровск;г;`4000000000000;`4000400100000;Калужская;обл
Бородино;г;`2400000000000;`2400000200000;Красноярский край;
Братск;г;`3800000000000;`3800000500000;Иркутская;обл
Бронницы;г;`5000000000000;`5000000200000;Московская;обл
Брянск;г;`3200000000000;`3200000100000;Брянская;обл
Бугульма;г;`1600000000000;`1601400100000;Татарстан;респ
Бугуруслан;г;`5600000000000;`5600000500000;Оренбургская;обл
Буденновск;г;`2600000000000;`2600700100000;Ставропольский край;
Бузулук;г;`5600000000000;`5600000600000;Оренбургская;обл
Буинск;г;`1600000000000;`1601500100000;Татарстан;респ
Буй;г;`4400000000000;`4400300100000;Костромская;обл
Буйнакск;г;`0500000000000;`0500001000000;Дагестан;респ
Бутурлиновка;г;`3600000000000;`3600600100000;Воронежская;обл
Валдай;г;`5300000000000;`5300400100000;Новгородская;обл
Валуйки;г;`3100000000000;`3100400100000;Белгородская;обл
Велиж;г;`6700000000000;`6700200100000;Смоленская;обл
Великие Луки;г;`6000000000000;`6000000200000;Псковская;обл
Великий Новгород;г;`5300000000000;`5300000100000;Новгородская;обл
Великий Устюг;г;`3500000000000;`3500600100000;Вологодская;обл
Венев;г;`7100000000000;`7100600100000;Тульская;обл
Верещагино;г;`5900000000000;`5900500100000;Пермский край;
Верея;г;`5000000000000;`5004800200000;Московская;обл
Верхнеуральск;г;`7400000000000;`7402900100000;Челябинская;обл
Верхний Тагил;г;`6600000000000;`6600003700000;Свердловская;обл
Верхний Уфалей;г;`7400000000000;`7400000200000;Челябинская;обл
Верхняя Пышма;г;`6600000000000;`6600000400000;Свердловская;обл
Верхняя Салда;г;`6600000000000;`6600004500000;Свердловская;обл
Верхняя Тура;г;`6600000000000;`6600004000000;Свердловская;обл
Верхотурье;г;`6600000000000;`6601000100000;Свердловская;обл
Верхоянск;г;`1400000000000;`1401000200000;Саха /Якутия;респ
Весьегонск;г;`6900000000000;`6900001100000;Тверская;обл
Ветлуга;г;`5200000000000;`5201300100000;Нижегородская;обл
Видное;г;`5000000000000;`5000002500000;Московская;обл
Вилюйск;г;`1400000000000;`1401100100000;Саха /Якутия;респ
Вилючинск;г;`4100000000000;`4100000200000;Камчатский край;
Вихоревка;г;`3800000000000;`3800500200000;Иркутская;обл
Владивосток;г;`2500000000000;`2500000100000;Приморский край;
Владикавказ;г;`1500000000000;`1500000100000;Северная Осетия - Алания;респ
Владимир;г;`3300000000000;`3300000100000;Владимирская;обл
Волгоград;г;`3400000000000;`3400000100000;Волгоградская;обл
Волгодонск;г;`6100000000000;`6100000400000;Ростовская;обл
Волгореченск;г;`4400000000000;`4400000200000;Костромская;обл
Волжск;г;`1200000000000;`1200000200000;Марий Эл;респ
Волжский;г;`3400000000000;`3400000200000;Волгоградская;обл
Вологда;г;`3500000000000;`3500000100000;Вологодская;обл
Володарск;г;`5200000000000;`5201600100000;Нижегородская;обл
Волоколамск;г;`5000000000000;`5000006600000;Московская;обл
Волосово;г;`4700000000000;`4700300100000;Ленинградская;обл
Волхов;г;`4700000000000;`4700400100000;Ленинградская;обл
Волчанск;г;`6600000000000;`6600003900000;Свердловская;обл
Вольск;г;`6400000000000;`6400000600000;Саратовская;обл
Вольск-18;г;`6400000000000;`6400000602500;Саратовская;обл
Воркута;г;`1100000000000;`1100000200000;Коми;респ
Воронеж;г;`3600000000000;`3600000100000;Воронежская;обл
Воронеж-45;г;`3600000000000;`3600000400000;Воронежская;обл
Ворсма;г;`5200000000000;`5203200200000;Нижегородская;обл
Воскресенск;г;`5000000000000;`5004400000000;Московская;обл
Воткинск;г;`1800000000000;`1800000300000;Удмуртская;респ
Всеволожск;г;`4700000000000;`4700500100000;Ленинградская;обл
Вуктыл;г;`1100000000000;`1100000300000;Коми;респ
Выборг;г;`4700000000000;`4700600100000;Ленинградская;обл
Выкса;г;`5200000000000;`5200000700000;Нижегородская;обл
Высоковск;г;`5000000000000;`5004700200000;Московская;обл
Высоцк;г;`4700000000000;`4700600200000;Ленинградская;обл
Вытегра;г;`3500000000000;`3500900100000;Вологодская;обл
Вышний Волочек;г;`6900000000000;`6900000600000;Тверская;обл
Вяземский;г;`2700000000000;`2700700100000;Хабаровский край;
Вязники;г;`3300000000000;`3300300100000;Владимирская;обл
Вязьма;г;`6700000000000;`6700300100000;Смоленская;обл
Вятские Поляны;г;`4300000000000;`4300800100000;Кировская;обл
Гаврилов Посад;г;`3700000000000;`3700400100000;Ивановская;обл
Гаврилов-Ям;г;`7600000000000;`7600500100000;Ярославская;обл
Гагарин;г;`6700000000000;`6700400100000;Смоленская;обл
Гаджиево;г;`5100000000000;`5100001200000;Мурманская;обл
Гай;г;`5600000000000;`5600000700000;Оренбургская;обл
Галич;г;`4400000000000;`4400500100000;Костромская;обл
Гатчина;г;`4700000000000;`4700700100000;Ленинградская;обл
Гвардейск;г;`3900000000000;`3900300100000;Калининградская;обл
Гдов;г;`6000000000000;`6000400100000;Псковская;обл
Геленджик;г;`2300000000000;`2300000300000;Краснодарский край;
Глазов;г;`1800000000000;`1800000400000;Удмуртская;респ
Голицыно;г;`5000000000000;`5004200200000;Московская;обл
Горбатов;г;`5200000000000;`5203200300000;Нижегородская;обл
Горно-Алтайск;г;`0400000000000;`0400000100000;Алтай;респ
Горнозаводск;г;`5900000000000;`5900600100000;Пермский край;
Горняк;г;`2200000000000;`2202700100000;Алтайский край;
Городец;г;`5200000000000;`5202000100000;Нижегородская;обл
Городище;г;`5800000000000;`5800800100000;Пензенская;обл
Городовиковск;г;`0800000000000;`0800200100000;Калмыкия;респ
Гороховец;г;`3300000000000;`3300400100000;Владимирская;обл
Горячий Ключ;г;`2300000000000;`2300000400000;Краснодарский край;
Грайворон;г;`3100000000000;`3100700100000;Белгородская;обл
Гремячинск;г;`5900000000000;`5900000400000;Пермский край;
Грозный;г;`2000000000000;`2000000100000;Чеченская;респ
Грязи;г;`4800000000000;`4800300100000;Липецкая;обл
Грязовец;г;`3500000000000;`3501000100000;Вологодская;обл
Губаха;г;`5900000000000;`5900000500000;Пермский край;
Губкин;г;`3100000000000;`3100000400000;Белгородская;обл
Губкинский;г;`8900000000000;`8900000200000;Ямало-Ненецкий;ао
Гудермес;г;`2000000000000;`2000500100000;Чеченская;респ
Гуково;г;`6100000000000;`6100000500000;Ростовская;обл
Гулькевичи;г;`2300000000000;`2300900100000;Краснодарский край;
Гурьевск;г;`3900000000000;`3900400100000;Калининградская;обл
Гурьевск;г;`4200000000000;`4200300100000;Кемеровскаяасть - Кузбасс;обл
Гусев;г;`3900000000000;`3900500100000;Калининградская;обл
Гусиноозерск;г;`0300000000000;`0301800100000;Бурятия;респ
Гусь-Хрустальный;г;`3300000000000;`3300000300000;Владимирская;обл
Давлеканово;г;`0200000000000;`0205900100000;Башкортостан;респ
Дагестанские Огни;г;`0500000000000;`0500000200000;Дагестан;респ
Далматово;г;`4500000000000;`4500500100000;Курганская;обл
Дальнегорск;г;`2500000000000;`2500000800000;Приморский край;
Дальнереченск;г;`2500000000000;`2500000900000;Приморский край;
Данилов;г;`7600000000000;`7600600100000;Ярославская;обл
Данков;г;`4800000000000;`4800400100000;Липецкая;обл
Дегтярск;г;`6600000000000;`6600004100000;Свердловская;обл
Дедовск;г;`5000000000000;`5004600200000;Московская;обл
Демидов;г;`6700000000000;`6700600100000;Смоленская;обл
Дербент;г;`0500000000000;`0500000600000;Дагестан;респ
Десногорск;г;`6700000000000;`6700000200000;Смоленская;обл
Джанкой;г;`9100000000000;`9100000600000;Крым;респ
Дзержинск;г;`5200000000000;`5200000200000;Нижегородская;обл
Дзержинский;г;`5000000000000;`5000002300000;Московская;обл
Дивногорск;г;`2400000000000;`2400000300000;Красноярский край;
Дигора;г;`1500000000000;`1500400100000;Северная Осетия - Алания;респ
Димитровград;г;`7300000000000;`7300000200000;Ульяновская;обл
Дмитриев;г;`4600000000000;`4600600100000;Курская;обл
Дмитров;г;`5000000000000;`5004500000000;Московская;обл
Дмитровск;г;`5700000000000;`5700500100000;Орловская;обл
Дно;г;`6000000000000;`6000600100000;Псковская;обл
Добрянка;г;`5900000000000;`5900000600000;Пермский край;
Долгопрудный;г;`5000000000000;`5000002900000;Московская;обл
Долинск;г;`6500000000000;`6500300100000;Сахалинская;обл
Домодедово;г;`5000000000000;`5000000100000;Московская;обл
Донецк;г;`6100000000000;`6100000600000;Ростовская;обл
Донской;г;`7100000000000;`7100000200000;Тульская;обл
Дорогобуж;г;`6700000000000;`6700700100000;Смоленская;обл
Дрезна;г;`5000000000000;`5000100100000;Московская;обл
Дубна;г;`5000000000000;`5000000300000;Московская;обл
Дубовка;г;`3400000000000;`3400600100000;Волгоградская;обл
Дудинка;г;`2400000000000;`2404800100000;Красноярский край;
Духовщина;г;`6700000000000;`6700800100000;Смоленская;обл
Дюртюли;г;`0200000000000;`0206000100000;Башкортостан;респ
Дятьково;г;`3200000000000;`3200600100000;Брянская;обл
Евпатория;г;`9100000000000;`9100000900000;Крым;респ
Егорьевск;г;`5000000000000;`5000003900000;Московская;обл
Ейск;г;`2300000000000;`2301100100000;Краснодарский край;
Екатеринбург;г;`6600000000000;`6600000100000;Свердловская;обл
Елабуга;г;`1600000000000;`1601900100000;Татарстан;респ
Елец;г;`4800000000000;`4800000200000;Липецкая;обл
Ельня;г;`6700000000000;`6700900100000;Смоленская;обл
Еманжелинск;г;`7400000000000;`7404400100000;Челябинская;обл
Емва;г;`1100000000000;`1100600100000;Коми;респ
Енисейск;г;`2400000000000;`2400001400000;Красноярский край;
Ермолино;г;`4000000000000;`4000400400000;Калужская;обл
Ершов;г;`6400000000000;`6401400100000;Саратовская;обл
Ессентуки;г;`2600000000000;`2600000200000;Ставропольский край;
Ефремов;г;`7100000000000;`7101000100000;Тульская;обл
Железноводск;г;`2600000000000;`2600000300000;Ставропольский край;
Железногорск;г;`2400000000000;`2400000400000;Красноярский край;
Железногорск;г;`4600000000000;`4600000300000;Курская;обл
Железногорск-Илимский;г;`3800000000000;`3801500100000;Иркутская;обл
Жердевка;г;`6800000000000;`6800400100000;Тамбовская;обл
Жигулевск;г;`6300000000000;`6300000200000;Самарская;обл
Жиздра;г;`4000000000000;`4000800100000;Калужская;обл
Жирновск;г;`3400000000000;`3400800100000;Волгоградская;обл
Жуков;г;`4000000000000;`4000900100000;Калужская;обл
Жуковка;г;`3200000000000;`3200800100000;Брянская;обл
Жуковский;г;`5000000000000;`5000000500000;Московская;обл
Завитинск;г;`2800000000000;`2800500100000;Амурская;обл
Заводоуковск;г;`7200000000000;`7200000400000;Тюменская;обл
Заволжск;г;`3700000000000;`3700500100000;Ивановская;обл
Заволжье;г;`5200000000000;`5202000200000;Нижегородская;обл
Задонск;г;`4800000000000;`4800900100000;Липецкая;обл
Заинск;г;`1600000000000;`1602000100000;Татарстан;респ
Закаменск;г;`0300000000000;`0300700100000;Бурятия;респ
Заозерный;г;`2400000000000;`2403301500000;Красноярский край;
Заозерск;г;`5100000000000;`5100000300000;Мурманская;обл
Западная Двина;г;`6900000000000;`6900001300000;Тверская;обл
Заполярный;г;`5100000000000;`5100500200000;Мурманская;обл
Зарайск;г;`5000000000000;`5000004600000;Московская;обл
Заречный;г;`5800000000000;`5800000200000;Пензенская;обл
Заречный;г;`6600000000000;`6600000500000;Свердловская;обл
Заринск;г;`2200000000000;`2200001100000;Алтайский край;
Звенигово;г;`1200000000000;`1200400100000;Марий Эл;респ
Звенигород;г;`5000000000000;`5004200400000;Московская;обл
Зверево;г;`6100000000000;`6100000700000;Ростовская;обл
Зеленогорск;г;`2400000000000;`2400000500000;Красноярский край;
Зеленогорск;г;`7800000000000;`7800000200000;Санкт-Петербург;г
Зеленоград;г;`7700000000000;`7700000200000;Москва;г
Зеленоградск;г;`3900000000000;`3900600100000;Калининградская;обл
Зеленодольск;г;`1600000000000;`1602100100000;Татарстан;респ
Зеленокумск;г;`2600000000000;`2602300100000;Ставропольский край;
Зерноград;г;`6100000000000;`6101300100000;Ростовская;обл
Зея;г;`2800000000000;`2800000400000;Амурская;обл
Зима;г;`3800000000000;`3800000700000;Иркутская;обл
Златоуст;г;`7400000000000;`7400000400000;Челябинская;обл
Злынка;г;`3200000000000;`3200900100000;Брянская;обл
Змеиногорск;г;`2200000000000;`2201500100000;Алтайский край;
Знаменск;г;`3000000000000;`3000000200000;Астраханская;обл
Зубцов;г;`6900000000000;`6901000100000;Тверская;обл
Зуевка;г;`4300000000000;`4301000100000;Кировская;обл
Ивангород;г;`4700000000000;`4700801100000;Ленинградская;обл
Иваново;г;`3700000000000;`3700000100000;Ивановская;обл
Ивантеевка;г;`5000000000000;`5005000300000;Московская;обл
Ивдель;г;`6600000000000;`6600000600000;Свердловская;обл
Игарка;г;`2400000000000;`2403801700000;Красноярский край;
Ижевск;г;`1800000000000;`1800000100000;Удмуртская;респ
Избербаш;г;`0500000000000;`0500000300000;Дагестан;респ
Изобильный;г;`2600000000000;`2601000100000;Ставропольский край;
Иланский;г;`2400000000000;`2401600100000;Красноярский край;
Инза;г;`7300000000000;`7300500100000;Ульяновская;обл
Инкерман;г;`9200000000000;`9200000100000;Севастополь;г
Иннополис;г;`1600000000000;`1601600100000;Татарстан;респ
Инсар;г;`1300000000000;`1301000100000;Мордовия;респ
Инта;г;`1100000000000;`1100000400000;Коми;респ
Ипатово;г;`2600000000000;`2601100100000;Ставропольский край;
Ирбит;г;`6600000000000;`6600002900000;Свердловская;обл
Иркутск;г;`3800000000000;`3800000300000;Иркутская;обл
Исилькуль;г;`5500000000000;`5500700100000;Омская;обл
Искитим;г;`5400000000000;`5400000500000;Новосибирская;обл
Истра;г;`5000000000000;`5004600000000;Московская;обл
Ишим;г;`7200000000000;`7200000300000;Тюменская;обл
Ишимбай;г;`0200000000000;`0202600100000;Башкортостан;респ
Йошкар-Ола;г;`1200000000000;`1200000100000;Марий Эл;респ
Кадников;г;`3500000000000;`3501700200000;Вологодская;обл
Казань;г;`1600000000000;`1600000100000;Татарстан;респ
Калач;г;`3600000000000;`3601100100000;Воронежская;обл
Калачинск;г;`5500000000000;`5500800100000;Омская;обл
Калач-на-Дону;г;`3400000000000;`3401000100000;Волгоградская;обл
Калининград;г;`3900000000000;`3900000100000;Калининградская;обл
Калининск;г;`6400000000000;`6401600100000;Саратовская;обл
Калтан;г;`4200000000000;`4200000400000;Кемеровскаяасть - Кузбасс;обл
Калуга;г;`4000000000000;`4000000100000;Калужская;обл
Калязин;г;`6900000000000;`6901100100000;Тверская;обл
Камбарка;г;`1800000000000;`1801100100000;Удмуртская;респ
Каменка;г;`5800000000000;`5801100100000;Пензенская;обл
Каменногорск;г;`4700000000000;`4700600300000;Ленинградская;обл
Каменск-Уральский;г;`6600000000000;`6600002200000;Свердловская;обл
Каменск-Шахтинский;г;`6100000000000;`6100000800000;Ростовская;обл
Камень-на-Оби;г;`2200000000000;`2201800100000;Алтайский край;
Камешково;г;`3300000000000;`3300600100000;Владимирская;обл
Камызяк;г;`3000000000000;`3000600100000;Астраханская;обл
Камышин;г;`3400000000000;`3400000300000;Волгоградская;обл
Камышлов;г;`6600000000000;`6600003000000;Свердловская;обл
Канаш;г;`2100000000000;`2100002300000;Чувашская Республика - Чувашия;
Кандалакша;г;`5100000000000;`5100100100000;Мурманская;обл
Канск;г;`2400000000000;`2400001600000;Красноярский край;
Карабаново;г;`3300000000000;`3300200200000;Владимирская;обл
Карабаш;г;`7400000000000;`7400000500000;Челябинская;обл
Карабулак;г;`0600000000000;`0600000200000;Ингушетия;респ
Карасук;г;`5400000000000;`5400900100000;Новосибирская;обл
